YEAR,MONTH,PRCP,TAVG,TMAX,TMIN
2018,06,3.62,63.4,75.8,51.1
2018,07,4.82,69.4,83.2,55.7
2018,08,6.37,69.6,80.5,58.6
2018,09,4.88,64.9,74.9,55.0
2018,10,5.99,48.6,57.5,39.6
2018,11,4.96,33.5,40.6,26.4
2018,12,2.58,30.9,37.9,23.9
2019,01,3.46,20.7,30.3,11.0
2019,02,2.19,25.5,35.7,15.2
2019,03,1.41,29.6,42.5,16.7
2019,04,3.81,44.3,57.4,31.2
2019,05,4.87,55.9,68.0,43.8
2019,06,6.65,62.3,75.1,49.4
2019,07,5.91,70.3,82.2,58.3
2019,08,2.3,66.1,78.6,53.6
2019,09,3.19,60.7,74.2,47.2
2019,10,3.96,50.2,62.1,38.4
2019,11,2.51,33.7,42.2,25.2
2019,12,3.31,29.0,38.4,19.6
2020,01,2.4,28.4,37.2,19.6
2020,02,3.28,26.8,36.0,17.5
2020,03,2.59,38.0,48.8,27.2
2020,04,2.8,40.7,51.7,29.8
2020,05,4.07,52.9,65.8,40.0
2020,06,1.9,63.8,78.3,49.3
2020,07,5.45,71.1,84.2,57.9
2020,08,2.23,67.5,81.3,53.7
2020,09,2.62,57.9,71.9,43.9
2020,10,3.45,48.4,58.9,37.8
2020,11,1.65,41.9,53.1,30.6
2020,12,3.28,29.7,37.1,22.3
2021,01,1.28,26.0,32.6,19.3
2021,02,1.59,21.6,32.3,10.9
2021,03,1.24,36.1,50.3,22.0
2021,04,4.13,45.5,57.9,33.1
2021,05,3.31,53.4,67.2,39.7
2021,06,2.74,66.2,79.8,52.5
2021,07,11.03,68.0,78.8,57.2
2021,08,5.24,70.3,81.7,58.9
2021,09,5.35,61.2,72.9,49.6
2021,10,5.19,55.9,65.3,46.5
2021,11,2.51,36.3,45.6,27.0
2021,12,2.7,34.6,42.2,27.0
2022,01,2.13,15.9,28.5,3.4
2022,02,4.07,23.6,36.1,11.2
2022,03,2.7,34.2,46.8,21.5
2022,04,2.68,43.6,55.6,31.6
2022,05,3.29,57.5,71.4,43.5
2022,06,2.06,64.4,78.1,50.6
2022,07,3.19,68.2,82.4,54.1
2022,08,4.41,68.5,81.4,55.6
2022,09,5.24,60.1,70.8,49.3
2022,10,0.75,46.7,60.9,32.5
2022,11,3.71,39.9,50.6,29.2
2022,12,2.04,28.9,36.8,21.1
2023,01,3.2,32.5,38.7,26.3
2023,02,1.87,30.1,41.3,18.9
2023,03,3.5,32.5,42.5,22.5
2023,04,2.82,48.2,62.9,33.4
2023,05,2.15,52.7,68.1,37.3
2023,06,2.43,61.7,74.2,49.2
2023,07,3.81,69.6,82.0,57.2
2023,08,2.08,65.4,77.0,53.9
2023,09,1.81,60.1,72.3,48.0
2023,10,2.89,51.6,61.7,41.5
2023,11,1.91,36.4,46.7,26.0
2023,12,3.06,36.4,43.5,29.3
